"","hydrophobicity","is_tmh","binds_mhc1","binds_mhc2"
"1",-1.475,0,0,0
"2",-1.9,0,0,0
"3",-0.985,0,0,0
"4",-0.835,0,0,0
"5",0.545,0,1,0
"6",0.415,0,0,0
"7",-0.235,0,0,0
"8",-1.035,0,0,0
"9",0.68,0,0,0
"10",0.175,0,1,0
"11",-0.085,0,0,0
"12",-0.77,0,0,0
"13",1.585,0,1,0
"14",-0.575,0,0,0
"15",0.96,0,1,0
"16",1.34,0,1,0
"17",0.33,0,1,0
"18",-0.99,0,0,0
"19",-0.62,0,0,0
"20",0.885,0,0,0
"21",-0.21,0,0,0
"22",-0.17,0,0,0
"23",-1.245,0,0,0
"24",0.58,0,1,0
"25",0.07,0,0,0
"26",1.37,0,1,0
"27",-0.32,0,0,0
"28",0.565,0,0,0
"29",0.12,0,0,0
"30",-1.14,0,0,0
"31",-0.405,0,0,0
"32",0.525,0,1,0
"33",0.095,0,0,0
"34",0.06,0,1,0
"35",0.815,0,1,0
"36",-0.165,0,0,0
"37",-1.92,0,0,0
"38",0.66,0,1,0
"39",0.295,0,1,0
"40",-1.38,0,0,0
"41",1.85,0,1,0
"42",0.095,0,1,0
"43",-0.27,0,1,0
"44",-0.365,0,0,0
"45",-2.01,0,0,0
"46",-0.92,0,0,0
"47",0.035,0,1,0
"48",-0.565,0,1,0
"49",0.855,0,1,0
"50",-1.075,0,0,0
"51",-0.27,0,0,0
"52",0.53,0,0,0
"53",-0.715,0,0,0
"54",-1.525,0,0,0
"55",0.79,0,0,0
"56",0.565,0,1,0
"57",1.675,0,1,0
"58",0.205,0,0,0
"59",0.475,0,1,0
"60",-1.015,0,0,0
"61",-0.015,0,1,0
"62",0.555,0,0,0
"63",0.96,0,0,0
"64",-0.78,0,0,0
"65",-0.39,0,0,0
"66",-0.59,0,1,0
"67",0.72,0,0,0
"68",-1.61,0,0,0
"69",0.435,0,0,0
"70",0.165,0,0,0
"71",-0.75,0,1,0
"72",-0.29,0,0,0
"73",-2.275,0,0,0
"74",-0.15,0,0,0
"75",0.965,0,0,0
"76",-0.14,0,1,0
"77",-1.91,0,0,0
"78",-1.085,0,0,0
"79",-0.285,0,0,0
"80",-1.58,0,0,0
"81",0.89,0,1,0
"82",1.025,0,1,1
"83",-1.31,0,0,0
"84",1.26,0,1,0
"85",-1.255,0,0,0
"86",-1.57,0,0,0
"87",1.4,0,0,0
"88",-1.04,0,1,0
"89",-0.425,0,0,0
"90",-0.525,0,0,0
"91",0.435,0,1,0
"92",-0.65,0,0,0
"93",-0.45,0,0,0
"94",0.085,0,1,0
"95",-0.235,0,0,0
"96",0.56,0,1,0
"97",-0.375,0,0,0
"98",0.93,0,0,0
"99",-0.29,0,0,0
"100",0.00499999999999998,0,0,0
"101",0.125,0,1,0
"102",-1.765,0,1,0
"103",-1.105,0,0,0
"104",-0.025,0,1,0
"105",-1.35,0,0,0
"106",-1.35,0,0,0
"107",-0.95,0,0,0
"108",0.935,0,1,0
"109",-0.61,0,0,0
"110",-1.845,0,1,0
"111",0.865,0,1,0
"112",1.095,0,0,0
"113",0.565,0,1,0
"114",0.765,0,0,0
"115",-1.645,0,0,0
"116",-1.505,0,0,0
"117",-1.855,0,0,0
"118",-0.765,0,0,0
"119",-0.44,0,0,0
"120",0.025,0,1,0
"121",0.545,0,0,0
"122",-0.185,0,0,0
"123",-0.6,0,0,0
"124",-0.08,0,0,0
"125",-1.335,0,0,0
"126",1.015,0,1,0
"127",-0.47,0,1,0
"128",-0.205,0,1,0
"129",-0.225,0,1,0
"130",0.84,0,1,0
"131",0.015,0,1,0
"132",-0.585,0,0,0
"133",0.965,0,0,0
"134",1.47,0,0,0
"135",-0.205,0,1,0
"136",0.115,0,0,0
"137",-1.795,0,0,0
"138",-1.095,0,1,0
"139",0.905,0,1,0
"140",-1.975,0,0,0
"141",0.315,0,1,0
"142",0.17,0,1,0
"143",0.965,0,1,0
"144",-1.105,0,0,0
"145",0.925,0,1,0
"146",-1.51,0,0,0
"147",-0.305,0,0,0
"148",-1.595,0,0,0
"149",-0.3,0,1,0
"150",0.88,0,1,0
"151",-0.66,0,0,0
"152",1.73,0,1,0
"153",0.08,0,1,0
"154",-0.315,0,1,0
"155",0.125,0,0,0
"156",-1.295,0,0,0
"157",-0.405,0,1,0
"158",-0.27,0,1,1
"159",-0.7,0,1,0
"160",1,0,0,0
"161",-1.585,0,0,0
"162",1.05,0,0,0
"163",-0.445,0,0,0
"164",-0.335,0,1,0
"165",0.895,0,1,0
"166",-0.69,0,0,0
"167",0.155,0,1,0
"168",-1.04,0,0,0
"169",-2.43,0,0,0
"170",-1.19,0,0,0
"171",0.365,0,1,0
"172",1.145,0,1,0
"173",0.5,0,0,0
"174",0.14,0,1,0
"175",-1.05,0,1,0
"176",-1.475,0,0,0
"177",-0.355,0,1,0
"178",-0.14,0,0,0
"179",-0.21,0,1,0
"180",0.085,0,1,0
"181",0.54,0,0,0
"182",-0.685,0,0,0
"183",-0.87,0,0,0
"184",0.565,0,1,0
"185",-1.235,0,0,0
"186",0.335,0,0,0
"187",0.075,0,0,0
"188",-0.27,0,0,0
"189",0.965,0,0,0
"190",-1.14,0,0,0
"191",-0.78,0,0,0
"192",-1.525,0,1,0
"193",0.48,0,0,0
"194",-0.335,0,1,0
"195",0.54,0,1,0
"196",-0.74,0,1,0
"197",0.08,0,0,0
"198",-1.5,0,0,0
"199",0.95,0,1,0
"200",-1.96,0,0,0
"201",-0.425,0,0,0
"202",-0.05,0,1,0
"203",-1.925,0,0,0
"204",-0.205,0,1,0
"205",-0.475,0,0,0
"206",0.455,0,0,0
"207",0.9,0,0,0
"208",-0.18,0,0,0
"209",0.54,0,0,0
"210",-0.27,0,0,0
"211",0.575,0,1,0
"212",-0.73,0,0,0
"213",-1.505,0,0,0
"214",-2.915,0,0,0
"215",0.74,0,1,0
"216",-0.155,0,1,0
"217",-2.295,0,0,0
"218",-1.175,0,0,0
"219",-0.585,0,0,0
"220",-0.26,0,0,0
"221",-0.68,0,0,0
"222",-1.77,0,0,0
"223",-0.57,0,0,0
"224",0.37,0,1,0
"225",0.145,0,1,0
"226",-1.52,0,0,0
"227",0.185,0,0,0
"228",-1.49,0,0,0
"229",-0.435,0,0,0
"230",-2.325,0,0,0
"231",-1.025,0,0,0
"232",-1.32,0,0,0
"233",-0.42,0,0,1
"234",-0.645,0,0,0
"235",-0.925,0,0,0
"236",-0.365,0,0,0
"237",-1.43,0,1,0
"238",0.51,0,1,1
"239",0.475,0,0,0
"240",0.505,0,1,0
"241",1.815,0,1,0
"242",-1.475,0,0,0
"243",0.92,0,1,0
"244",0.21,0,0,1
"245",-0.175,0,0,0
"246",1.32,0,1,0
"247",-1.54,0,0,0
"248",-1.3,0,0,0
"249",-1.155,0,0,0
"250",-0.27,0,1,0
"251",-0.195,0,0,0
"252",1.395,0,0,0
"253",-0.445,0,1,0
"254",-1.205,0,0,0
"255",-0.36,0,0,0
"256",-0.325,0,0,0
"257",0.54,0,1,0
"258",0.825,0,1,0
"259",-0.54,0,0,0
"260",0.21,0,0,0
"261",-0.635,0,0,0
"262",1.335,0,1,0
"263",-0.69,0,0,0
"264",-0.175,0,0,0
"265",-1.625,0,0,0
"266",-1.73,0,1,0
"267",-0.685,0,0,0
"268",-1.24,0,0,0
"269",0.25,0,1,0
"270",-0.165,0,0,0
"271",-0.67,0,1,0
"272",-2.315,0,0,0
"273",-1.2,0,0,0
"274",0.11,0,1,0
"275",-0.285,0,1,0
"276",0.535,0,0,0
"277",0.18,0,1,0
"278",-0.655,0,0,0
"279",-0.625,0,0,0
"280",-0.38,0,0,0
"281",-0.375,0,0,0
"282",-0.18,0,0,0
"283",-0.76,0,0,0
"284",0.24,0,1,0
"285",0.93,0,1,0
"286",-1.045,0,0,0
"287",-0.99,0,0,0
"288",-0.63,0,0,0
"289",-0.69,0,0,0
"290",0.22,0,0,0
"291",-1.025,0,0,0
"292",-0.56,0,0,0
"293",-1.06,0,0,0
"294",-0.32,0,0,0
"295",0.27,0,0,0
"296",0.615,0,1,0
"297",-0.11,0,1,0
"298",-0.87,0,0,0
"299",0.59,0,1,0
"300",-0.73,0,0,0
"301",0.51,0,1,0
"302",-0.175,0,0,0
"303",0.215,0,0,0
"304",-1.945,0,0,0
"305",-0.425,0,0,0
"306",-1.12,0,0,0
"307",-2.325,0,0,0
"308",-0.7,0,0,0
"309",-0.695,0,0,0
"310",-0.05,0,0,0
"311",-0.32,0,1,0
"312",1.88,0,1,0
"313",0.72,0,1,0
"314",-0.945,0,0,0
"315",-2.71,0,0,0
"316",-0.29,0,1,0
"317",-0.32,0,0,1
"318",0.065,0,1,0
"319",-0.185,0,1,0
"320",0.065,0,0,0
"321",0.96,0,1,0
"322",-0.41,0,0,0
"323",1.04,0,0,0
"324",-0.57,0,0,0
"325",0.055,0,1,0
"326",2.14,0,1,0
"327",-1.025,0,0,0
"328",-1.105,0,0,0
"329",-0.295,0,0,0
"330",-1.57,0,0,0
"331",-0.405,0,0,0
"332",0.1,0,1,0
"333",-0.745,0,0,0
"334",-1.1,0,0,0
"335",-1,0,0,0
"336",0.355,0,0,0
"337",-0.345,0,0,0
"338",-0.05,0,1,0
"339",0.8,0,0,0
"340",-1.225,0,0,0
"341",-0.75,0,0,0
"342",-1.065,0,0,0
"343",0.045,0,1,0
"344",-0.575,0,0,0
"345",-2.245,0,0,0
"346",-1.13,0,0,0
"347",-2.21,0,0,0
"348",-0.65,0,0,0
"349",0.545,0,0,0
"350",-0.355,0,0,0
"351",-1.07,0,0,0
"352",-1.93,0,0,0
"353",1.195,0,1,0
"354",-0.33,0,0,0
"355",0.855,0,0,0
"356",-0.875,0,0,0
"357",-0.245,0,0,0
"358",-0.115,0,0,0
"359",-0.17,0,0,0
"360",-0.52,0,0,0
"361",0.46,0,0,0
"362",-1.83,0,0,0
"363",0.585,0,0,0
"364",-0.505,0,0,0
"365",-1.105,0,0,0
"366",0.11,0,0,0
"367",-1.595,0,0,0
"368",0.00999999999999999,0,0,0
"369",-0.42,0,1,0
"370",-1.87,0,0,0
"371",0.53,0,0,1
"372",-2.29,0,0,0
"373",0.015,0,0,0
"374",0.485,0,0,0
"375",1.905,0,0,0
"376",-1.53,0,0,0
"377",-0.7,0,0,0
"378",1.24,0,1,0
"379",0.145,0,0,0
"380",0.085,0,1,0
"381",0.83,0,0,0
"382",0.03,0,0,0
"383",0.55,0,0,0
"384",-1.425,0,0,0
"385",-2.4,0,0,0
"386",-0.645,0,0,0
"387",-0.355,0,1,0
"388",-0.225,0,0,0
"389",-0.225,0,0,0
"390",0.235,0,1,0
"391",-0.135,0,0,0
"392",0.64,0,0,0
"393",-0.695,0,0,0
"394",0.735,0,0,0
"395",-0.16,0,0,0
"396",-0.64,0,0,0
"397",0.53,0,1,0
"398",-0.8,0,0,0
"399",-0.655,0,1,0
"400",-1.095,0,0,0
"401",0.19,0,1,0
"402",0.55,0,1,0
"403",-0.045,0,0,0
"404",-2,0,0,0
"405",-1.14,0,0,0
"406",-1.215,0,1,0
"407",0.25,0,1,0
"408",-1.15,0,1,0
"409",0.21,0,1,0
"410",0.885,0,0,0
"411",-0.55,0,0,0
"412",-0.475,0,0,0
"413",-0.31,0,0,0
"414",0.125,0,0,0
"415",-1.085,0,0,0
"416",-0.97,0,0,0
"417",-1.155,0,0,0
"418",0.275,0,0,0
"419",-0.98,0,0,0
"420",-0.56,0,0,0
"421",-0.77,0,0,0
"422",0.91,0,1,0
"423",-0.975,0,0,0
"424",-0.315,0,0,0
"425",1.32,0,1,0
"426",-1.08,0,0,0
"427",-0.16,0,0,0
"428",1.395,0,1,0
"429",0.44,0,0,1
"430",0.135,0,0,0
"431",-0.225,0,0,0
"432",0.04,0,1,0
"433",-0.525,0,0,0
"434",1.065,0,0,0
"435",-1.55,0,0,0
"436",-0.905,0,1,0
"437",-0.34,0,0,0
"438",-0.755,0,1,0
"439",-1.95,0,0,0
"440",-1.175,0,0,0
"441",-0.555,0,0,0
"442",-0.035,0,1,0
"443",1.7,0,1,0
"444",-0.845,0,0,1
"445",0.41,0,0,0
"446",0.345,0,1,0
"447",-0.155,0,0,0
"448",-0.055,0,0,0
"449",0.69,0,1,0
"450",0.2,0,0,0
"451",-0.78,0,0,0
"452",-0.555,0,0,0
"453",-0.64,0,0,0
"454",-0.28,0,0,0
"455",1.035,0,1,0
"456",0.23,0,0,0
"457",0.395,0,0,0
"458",-1.84,0,1,0
"459",0.16,0,0,0
"460",1.43,0,1,0
"461",0.88,0,1,0
"462",0.695,0,0,0
"463",0.03,0,0,0
"464",-0.975,0,0,0
"465",0.505,0,1,0
"466",-0.245,0,0,0
"467",0.375,0,1,0
"468",0.1,0,0,0
"469",-0.35,0,0,0
"470",0.93,0,1,1
"471",0.14,0,1,0
"472",1.28,0,1,0
"473",-1.15,0,0,0
"474",0.595,0,1,0
"475",0.075,0,1,0
"476",-1.085,0,0,0
"477",-0.795,0,0,0
